speed_kmh,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
15.0,50.18,65.41,81.3,96.36,112.86,129.36,146.37,164.13,182.65,197.88,218.29,236.37,254.01,275.11,292.13,314.31,333.37,352.65,376.58,394.26,417.9,439.34,459.11,482.02,507.07,528.08,549.82,574.78,599.83,623.65,645.37,661.67
18.0,59.95,78.0,96.72,114.61,133.93,153.25,173.09,193.68,215.02,233.07,256.31,277.22,297.68,321.6,341.44,366.46,388.34,410.44,437.19,457.7,484.17,508.43,531.03,556.76,584.63,608.47,633.04,660.82,688.69,715.34,739.89,759.01
20.0,66.47,86.4,107.0,126.77,147.97,169.18,190.9,213.37,236.6,256.53,281.66,304.44,326.79,352.6,374.32,401.22,424.98,448.97,477.61,500.0,528.34,554.49,578.97,606.59,636.34,662.07,688.52,718.18,747.94,776.46,802.9,823.9
22.0,72.98,94.8,117.28,138.93,162.02,185.11,208.72,233.07,258.18,279.99,307.0,331.67,355.9,383.59,407.2,435.98,461.63,487.5,518.02,542.29,572.52,600.55,626.92,656.42,688.06,715.66,743.99,775.54,807.18,837.59,865.91,888.79
25.0,82.75,107.39,132.7,157.18,183.09,209.0,235.43,262.61,290.54,315.19,345.02,372.52,399.57,430.09,456.52,488.12,516.6,545.29,578.63,605.73,638.79,669.65,698.83,731.16,765.62,796.05,827.21,861.58,896.05,929.28,960.42,986.13
28.0,92.52,119.98,148.12,175.42,204.16,232.9,262.15,292.16,322.91,350.38,383.04,413.36,443.24,476.58,505.84,540.26,571.56,603.08,639.25,669.17,705.06,738.74,770.75,805.9,843.19,876.44,910.43,947.62,984.91,1020.97,1054.94,1083.47
30.0,99.03,128.38,158.4,187.58,218.2,248.83,279.97,311.85,344.49,373.84,408.38,440.59,472.35,507.57,538.72,575.03,608.21,641.61,679.66,711.47,749.23,784.8,818.69,855.73,894.9,930.04,965.9,1004.98,1044.16,1082.1,1117.95,1148.37
32.0,105.55,136.78,168.68,199.75,232.25,264.76,297.78,331.55,366.07,397.31,433.73,467.82,501.46,538.57,571.59,609.79,644.85,680.14,720.07,753.76,793.41,830.86,866.64,905.55,946.61,983.63,1021.38,1062.35,1103.4,1143.23,1180.96,1213.26
35.0,115.32,149.37,184.09,217.99,253.32,288.65,324.5,361.09,398.44,432.5,471.75,508.66,545.13,585.06,620.91,661.93,699.82,737.93,780.69,817.21,859.68,899.95,938.55,980.3,1024.18,1064.02,1104.6,1148.39,1192.27,1234.92,1275.47,1310.6
38.0,125.08,161.97,199.51,236.24,274.39,312.55,351.22,390.64,430.81,467.69,509.77,549.5,588.8,631.56,670.23,714.07,754.79,795.72,841.31,880.65,925.95,969.04,1010.47,1055.04,1101.74,1144.42,1187.81,1234.43,1281.13,1326.61,1369.99,1407.94
40.0,131.6,170.36,209.79,248.4,288.43,328.47,369.03,410.33,452.39,491.15,535.11,576.73,617.91,662.55,703.11,748.83,791.43,834.25,881.72,922.94,970.12,1015.1,1058.41,1104.86,1153.45,1198.01,1243.29,1291.79,1340.38,1387.74,1433.0,1472.84
42.8,140.72,182.12,224.19,265.43,308.1,350.78,393.97,437.91,482.6,524.0,570.6,614.85,658.67,705.94,749.14,797.5,842.74,888.19,938.3,982.16,1031.97,1079.59,1125.54,1174.62,1225.85,1273.04,1320.96,1372.09,1423.32,1473.31,1521.21,1563.69
