speed_kmh,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
15.0,28.14,43.19,52.12,58.63,62.58,65.51,67.55,68.84,69.6,71.38,71.17,71.71,72.29,71.88,72.52,71.9,72.03,72.09,71.26,71.65,70.98,70.73,70.76,70.33,69.64,69.54,69.36,68.81,68.29,67.94,67.85,68.31
18.0,28.27,43.46,52.57,59.16,63.28,66.36,68.54,70.01,70.94,72.72,72.74,73.37,74.02,73.78,74.46,74.0,74.2,74.33,73.66,74.06,73.51,73.34,73.41,73.06,72.48,72.42,72.29,71.82,71.37,71.08,71.01,71.46
20.0,28.33,43.59,52.8,59.42,63.64,66.79,69.05,70.61,71.64,73.41,73.55,74.23,74.92,74.77,75.47,75.1,75.33,75.5,74.92,75.33,74.85,74.72,74.81,74.51,73.99,73.96,73.85,73.42,73.02,72.76,72.71,73.14
22.0,28.39,43.71,52.99,59.64,63.93,67.15,69.48,71.11,72.21,73.99,74.22,74.95,75.67,75.61,76.31,76.02,76.29,76.49,75.98,76.4,75.98,75.89,76.0,75.74,75.27,75.26,75.18,74.79,74.43,74.2,74.16,74.58
25.0,28.45,43.84,53.22,59.91,64.29,67.58,69.99,71.71,72.92,74.69,75.05,75.83,76.59,76.63,77.35,77.16,77.47,77.71,77.3,77.73,77.39,77.34,77.48,77.27,76.87,76.89,76.84,76.5,76.19,76.0,75.98,76.39
28.0,28.5,43.95,53.4,60.12,64.57,67.92,70.4,72.19,73.48,75.25,75.72,76.54,77.33,77.45,78.18,78.08,78.42,78.69,78.36,78.8,78.53,78.52,78.68,78.52,78.17,78.21,78.19,77.9,77.63,77.47,77.48,77.87
30.0,28.52,44.01,53.5,60.24,64.73,68.12,70.63,72.47,73.8,75.56,76.09,76.94,77.75,77.92,78.66,78.6,78.96,79.25,78.97,79.41,79.18,79.19,79.36,79.23,78.92,78.97,78.96,78.7,78.46,78.32,78.33,78.72
32.0,28.55,44.06,53.59,60.34,64.87,68.29,70.83,72.71,74.08,75.84,76.42,77.29,78.11,78.33,79.07,79.06,79.44,79.74,79.51,79.95,79.75,79.78,79.97,79.86,79.58,79.65,79.65,79.42,79.19,79.07,79.1,79.47
35.0,28.58,44.13,53.71,60.47,65.05,68.5,71.09,73.02,74.44,76.2,76.85,77.75,78.59,78.86,79.62,79.66,80.06,80.39,80.21,80.66,80.51,80.57,80.76,80.69,80.45,80.53,80.56,80.36,80.16,80.06,80.1,80.47
38.0,28.61,44.18,53.8,60.59,65.2,68.69,71.32,73.28,74.75,76.51,77.21,78.14,79.0,79.32,80.08,80.17,80.59,80.94,80.81,81.26,81.15,81.23,81.44,81.4,81.19,81.29,81.33,81.16,81.0,80.92,80.97,81.33
40.0,28.62,44.22,53.86,60.65,65.29,68.8,71.45,73.43,74.93,76.69,77.43,78.37,79.24,79.59,80.35,80.48,80.9,81.27,81.16,81.62,81.53,81.63,81.85,81.82,81.63,81.74,81.79,81.64,81.49,81.42,81.48,81.83
42.8,28.64,44.26,53.93,60.73,65.4,68.94,71.61,73.63,75.16,76.91,77.69,78.66,79.54,79.92,80.7,80.86,81.3,81.67,81.61,82.07,82.01,82.13,82.35,82.34,82.19,82.31,82.37,82.24,82.11,82.06,82.13,82.47
