speed_kmh,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OVER_VESC_LIMIT,OVER_VESC_LIMIT
20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT
22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT
25.0,,,,,,,,,,,,,,,,,,,,,,,,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT
28.0,,,,,,,,,,,,,,,,,,,,,,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT
30.0,,,,,,,,,,,,,,,,,,,,,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT
32.0,,,,,,,,,,,,,,,,,,,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT
35.0,,,,,,,,,,,,,,,,,,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT
38.0,,,,,,,,,,,,,,,,,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT
40.0,,,,,,,,,,,,,,,,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT
42.8,,,,,,,,,,,,,,,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT,OVER_VESC_LIMIT
